epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.89651,3.50992,3.77827,1.84736,0.00438,0.04615,0.0002,5e-05,2.55138,3.63605,1.50271,4e-05,4e-05,4e-05
2,2.62972,3.49285,3.70612,1.80647,0.00792,0.08352,0.00076,0.00019,2.46812,3.59794,1.43248,9.9505e-05,9.9505e-05,9.9505e-05
3,3.45107,3.03586,3.56485,1.61537,0.03542,0.37363,0.01384,0.00412,1.89208,3.4182,1.14899,0.000158416,0.000158416,0.000158416
4,4.21994,2.39471,3.2257,1.31984,0.02375,0.25055,0.04593,0.01027,1.83386,3.2598,1.03871,0.000216733,0.000216733,0.000216733
5,5.01078,2.2695,2.71438,1.14692,0.01479,0.15604,0.01569,0.00318,1.85786,3.11703,1.06592,0.000274456,0.000274456,0.000274456
6,5.79298,2.0212,1.93141,1.04528,0.44407,0.6967,0.57369,0.19461,1.91639,2.69173,1.09273,0.000331585,0.000331585,0.000331585
7,6.54165,1.72691,1.40265,0.98929,0.6611,0.45445,0.53596,0.18418,1.79359,2.28614,1.03054,0.00038812,0.00038812,0.00038812
8,7.28215,1.63915,1.18536,0.97949,0.719,0.48926,0.63332,0.2553,1.78572,2.07009,1.078,0.000444061,0.000444061,0.000444061
9,8.04393,1.65217,1.15903,0.97883,0.85889,0.45481,0.72372,0.35054,1.65399,2.04223,1.01295,0.000499408,0.000499408,0.000499408
10,8.79623,1.4873,1.07079,0.96002,0.08117,0.85055,0.0922,0.03952,1.89996,4.14632,1.12727,0.000554161,0.000554161,0.000554161
11,9.54161,1.60565,1.06296,0.96749,0.0675,0.71209,0.07187,0.03453,1.69746,17.5345,1.09623,0.00060832,0.00060832,0.00060832
12,10.9134,1.61725,1.01191,0.96476,0.07437,0.78462,0.08297,0.03642,1.81144,13.8485,1.12329,0.000661885,0.000661885,0.000661885
13,11.6242,1.44206,0.95427,0.93536,0.17279,0.52967,0.16864,0.08931,1.45978,5.14537,0.99932,0.000714856,0.000714856,0.000714856
14,12.3413,1.49629,0.97778,0.9671,0.84332,0.78074,0.86313,0.46258,1.44686,1.47245,0.99468,0.000767233,0.000767233,0.000767233
15,13.0897,1.46768,0.8785,0.93754,0.94565,0.72658,0.91307,0.5003,1.39225,1.64958,0.96163,0.000819016,0.000819016,0.000819016
16,13.8422,1.50648,0.92741,0.93565,0.73379,0.41195,0.64124,0.34511,1.36984,2.04802,0.94531,0.000870205,0.000870205,0.000870205
17,14.5462,1.5039,0.86159,0.92618,0.85349,0.4225,0.71569,0.38535,1.33786,2.07353,0.93375,0.0009208,0.0009208,0.0009208
18,15.2492,1.34996,0.83836,0.91253,0.98698,0.66666,0.90121,0.49371,1.33054,1.73585,0.92267,0.000970801,0.000970801,0.000970801
19,15.9268,1.31941,0.80312,0.93139,0.95362,0.76822,0.91414,0.51403,1.30476,1.6435,0.91658,0.00102021,0.00102021,0.00102021
20,16.651,1.36495,0.81167,0.92016,0.91706,0.82625,0.91953,0.50113,1.36103,1.61434,0.92226,0.00106902,0.00106902,0.00106902
21,17.3419,1.32704,0.77789,0.9231,0.93142,0.83582,0.92794,0.50771,1.37277,1.63036,0.92932,0.00111724,0.00111724,0.00111724
22,18.0678,1.37547,0.84109,0.93319,0.97015,0.78585,0.94481,0.5561,1.22272,1.73269,0.88367,0.00116486,0.00116486,0.00116486
23,18.7775,1.40174,0.81972,0.94235,0.97155,0.75042,0.94996,0.52312,1.26277,1.84445,0.88862,0.0012119,0.0012119,0.0012119
24,19.5012,1.3754,0.78629,0.9207,0.97004,0.71151,0.93018,0.4978,1.27554,1.94177,0.89102,0.00125833,0.00125833,0.00125833
25,20.1975,1.35098,0.79172,0.9386,0.98262,0.7456,0.94326,0.54668,1.22191,1.84205,0.88203,0.00130418,0.00130418,0.00130418
26,20.926,1.49343,0.81451,0.92654,0.95333,0.80809,0.93934,0.53114,1.34032,1.68146,0.91643,0.00134943,0.00134943,0.00134943
27,21.6157,1.32637,0.77045,0.93112,0.94418,0.85508,0.94372,0.54312,1.3439,1.58167,0.91775,0.00139408,0.00139408,0.00139408
28,22.3312,1.45032,0.80175,0.93159,0.93148,0.86651,0.94148,0.57841,1.22744,1.44459,0.89053,0.00143814,0.00143814,0.00143814
29,23.0592,1.42823,0.81129,0.92376,0.91732,0.8778,0.93577,0.56917,1.27852,1.45758,0.90646,0.00148161,0.00148161,0.00148161
30,23.8195,1.41769,0.77692,0.90688,0.93034,0.88058,0.93821,0.57877,1.25629,1.32661,0.89127,0.00152448,0.00152448,0.00152448
31,24.5356,1.35807,0.77041,0.91156,0.95249,0.88128,0.95452,0.60307,1.21207,1.25393,0.88171,0.00156676,0.00156676,0.00156676
32,25.2837,1.36382,0.7879,0.93735,0.91936,0.86154,0.93857,0.57532,1.20448,1.25154,0.88236,0.00160845,0.00160845,0.00160845
33,26.3022,1.29093,0.71635,0.91124,0.90563,0.88584,0.94078,0.55595,1.1894,1.19706,0.87467,0.00164954,0.00164954,0.00164954
34,27.0288,1.28095,0.68757,0.89451,0.92966,0.91429,0.95354,0.56197,1.22601,1.07504,0.89756,0.0016733,0.0016733,0.0016733
35,27.7296,1.23326,0.71244,0.92294,0.93414,0.93525,0.96297,0.5956,1.18526,1.00087,0.8894,0.0016634,0.0016634,0.0016634
36,28.4371,1.25396,0.65653,0.90648,0.94941,0.93187,0.96904,0.62772,1.14007,1.04813,0.87105,0.0016535,0.0016535,0.0016535
37,29.1603,1.25509,0.69645,0.89697,0.93043,0.94065,0.96495,0.60191,1.20312,1.06762,0.88673,0.0016436,0.0016436,0.0016436
38,29.8846,1.20027,0.69779,0.89675,0.95192,0.8967,0.96503,0.61034,1.15179,1.06588,0.87701,0.0016337,0.0016337,0.0016337
39,30.5872,1.19911,0.69733,0.87076,0.95526,0.8915,0.9622,0.6072,1.15205,1.07478,0.87525,0.0016238,0.0016238,0.0016238
40,31.3415,1.39819,0.78943,0.90053,0.95122,0.91868,0.96431,0.59622,1.20881,1.05831,0.88489,0.0016139,0.0016139,0.0016139
41,32.0392,1.34646,0.72073,0.91006,0.95225,0.93187,0.9714,0.61008,1.19714,1.00989,0.88292,0.001604,0.001604,0.001604
42,32.7417,1.26673,0.6914,0.90653,0.95932,0.93299,0.97026,0.64164,1.11017,0.76756,0.87938,0.0015941,0.0015941,0.0015941
43,33.456,1.26931,0.6799,0.88808,0.95429,0.91763,0.96343,0.60949,1.21863,0.75871,0.91716,0.0015842,0.0015842,0.0015842
44,34.181,1.24717,0.66696,0.90673,0.93688,0.91648,0.95431,0.60978,1.14615,0.71044,0.89556,0.0015743,0.0015743,0.0015743
45,34.8785,1.27446,0.68404,0.9148,0.92132,0.87503,0.9414,0.61861,1.09447,0.77844,0.88478,0.0015644,0.0015644,0.0015644
46,35.5909,1.26935,0.72062,0.91692,0.96422,0.82918,0.93633,0.61691,1.15663,0.87787,0.90705,0.0015545,0.0015545,0.0015545
47,36.2759,1.26951,0.67832,0.91103,0.90809,0.8034,0.89318,0.57244,1.19227,0.97772,0.91209,0.0015446,0.0015446,0.0015446
48,36.9815,1.27085,0.676,0.90426,0.95577,0.80729,0.92422,0.61662,1.13073,0.93495,0.89624,0.0015347,0.0015347,0.0015347
49,37.6839,1.24605,0.65545,0.885,0.96606,0.87577,0.95818,0.63238,1.12454,0.79256,0.89206,0.0015248,0.0015248,0.0015248
50,38.3762,1.20129,0.63287,0.88327,0.96194,0.91209,0.96709,0.62234,1.17616,0.6341,0.89818,0.0015149,0.0015149,0.0015149
51,39.3568,1.24496,0.6717,0.93053,0.95409,0.92088,0.9597,0.61729,1.15899,0.60539,0.89182,0.001505,0.001505,0.001505
